road_id,flood_direct_count,flood_direct_exposure,flood_events_5km,flood_events_10km,flood_nearby_5km,flood_nearby_10km,nearest_flood_distance_km
22826704,1,1,1,1,1,1,0.0
22826705,4,1,5,5,1,1,0.0
22826716,0,0,0,0,0,0,32.93603520702952
22826736,0,0,0,0,0,0,116.20106215848051
22826738,0,0,0,0,0,0,93.01742265149412
22826741,0,0,0,0,0,0,49.55517890446933
22826743,4,1,5,5,1,1,0.0
22826786,0,0,0,0,0,0,61.1295660562321
22826807,4,1,5,5,1,1,0.0
22826816,0,0,0,0,0,0,68.54678529163546
22826837,1,1,1,5,1,1,0.0
22826852,0,0,0,0,0,0,115.7376853328265
22826856,0,0,0,0,0,0,27.509760934388453
22826874,0,0,0,0,0,0,26.677986190023628
22826880,2,1,2,2,1,1,0.0
22826895,0,0,0,0,0,0,118.8362498403719
22826899,0,0,0,0,0,0,70.38620312499023
22826901,0,0,0,0,0,0,66.05156763791936
22826908,0,0,0,0,0,0,70.27776674795408
22827084,7,1,8,8,1,1,0.0
22827106,0,0,0,0,0,0,32.24864806026452
22827110,9,1,9,9,1,1,0.0
22827112,0,0,0,0,0,0,43.40222945206525
22827116,6,1,12,12,1,1,0.0
22827160,0,0,0,0,0,0,21.26350253758848
22827180,10,1,10,10,1,1,0.0
22827188,0,0,0,0,0,0,56.254238877446106
22832855,7,1,8,8,1,1,0.0
22832869,7,1,7,7,1,1,0.0
22832875,1,1,1,1,1,1,0.0
22832879,0,0,0,0,0,0,13.096281018988153
22832880,1,1,1,1,1,1,0.0
22832890,8,1,8,8,1,1,0.0
22832892,8,1,8,8,1,1,0.0
22832893,14,1,15,15,1,1,0.0
22832896,1,1,1,1,1,1,0.0
22832897,8,1,8,8,1,1,0.0
22832900,8,1,8,8,1,1,0.0
22832904,0,0,0,0,0,0,13.135417032384632
22832927,11,1,11,12,1,1,0.0
22832928,1,1,1,1,1,1,0.0
22832931,8,1,8,8,1,1,0.0
22832948,8,1,8,9,1,1,0.0
22832949,7,1,8,8,1,1,0.0
22832965,0,0,0,0,0,0,83.1674000975665
22832979,8,1,8,11,1,1,0.0
22832980,11,1,11,11,1,1,0.0
22832982,8,1,8,11,1,1,0.0
22832983,8,1,8,8,1,1,0.0
22832990,0,0,17,17,1,1,0.3902475045128828
22832998,8,1,8,8,1,1,0.0
22833001,7,1,7,7,1,1,0.0
22833053,9,1,10,10,1,1,0.0
22833070,1,1,8,8,1,1,0.0
22833117,12,1,12,12,1,1,0.0
22833171,4,1,4,10,1,1,0.0
22833185,4,1,12,12,1,1,0.0
22833202,7,1,8,8,1,1,0.0
22833215,7,1,7,8,1,1,0.0
22833227,7,1,8,8,1,1,0.0
28889278,0,0,0,0,0,0,12.259668575900786
28889306,0,0,0,1,0,1,9.159469813490027
29032754,0,0,0,0,0,0,88.06852740388216
29278146,0,0,0,0,0,0,13.077269335182978
32027419,0,0,0,0,0,0,19.365069741768824
35800877,0,0,0,0,0,0,103.08812826485187
35800879,0,0,0,0,0,0,101.62579617314375
38719482,9,1,12,12,1,1,0.0
38892203,14,1,14,14,1,1,0.0
38892204,14,1,14,14,1,1,0.0
