road_id,road_type,name,ref,surface,lanes,maxspeed,oneway,bridge,tunnel,latitude,longitude
22826704,tertiary,ONGC Road,,asphalt,,,,,,24.578174300000008,92.35528847924533
22826705,secondary,,CA-M-009,asphalt,,,,,,24.62570048749999,92.7116708
22826716,primary,,,,,,,,,25.35512574240838,93.60376171361258
22826736,primary,,,,,,,,,23.22994847387017,93.26669869548084
22826738,unclassified,,,,,,,,,22.94719222154473,92.71169784620587
22826741,unclassified,,,,,,,,,23.388690975471697,92.6163014207547
22826743,primary,,SH39,,,,,,,24.634426088235294,92.71015541764707
22826786,tertiary,,,,,,,,,23.44220846129035,92.78137152461171
22826807,primary,,SH39,,,,,,,24.63066292227724,92.67399624430695
22826816,tertiary,,,,,,,,,23.291936692142873,92.76901931214283
22826837,primary,Mission Road,,,,,,,,24.69518669811319,92.56639260377362
22826852,primary,,,,,,,,,23.181561917272735,93.23452309045456
22826856,track,,,,,,,,,24.290808031818187,93.27598658636362
22826874,secondary,,,,,,,,,23.773786991372194,92.5614636559572
22826880,trunk,HEMPI HOTEL,NH329,asphalt,2,40,,,,25.89056116408451,93.44155707746481
22826895,secondary,,,,,,,,,23.177094833737346,93.26605348727277
22826899,unclassified,,,,,,,,,23.990061639999997,93.55597338
22826901,trunk,Tedim Rd,NH2,,,,,,,24.464800268932034,93.74245873203881
22826908,secondary,Tedim Road,,unpaved,,,,,,23.98681949166667,93.5514139
22827084,path,,,,,,,,,26.138697875000002,89.91127114999999
22827106,trunk,,NH106,,2,,,,,25.52220211485848,91.48239181933967
22827110,unclassified,,,,,,,,,25.86556771428572,91.15794255238094
22827112,trunk,,NH208,,,,,,,23.839295833333335,91.6265032
22827116,secondary,,,,,,,,,25.995892695327097,91.49328575700936
22827160,trunk,,NH 127B,,,,,,,25.51451088461539,90.20913585192307
22827180,primary,,SH12,,,,,,,26.060110945454554,90.48683549363636
22827188,secondary,,,,,,,,,25.1782687,90.3408769888889
22832855,unclassified,,,,,,,,,27.298693762162166,95.85686475135132
22832869,primary,,SH48,paved,,,,,,27.842506999,95.679799336
22832875,unclassified,,,,,,,,,28.068572191590484,94.18931776910412
22832879,unclassified,,,,,,,,,27.83501025555556,93.9368843888889
22832880,trunk,Raneghat Bridge,NH13,,,,,yes,,28.099078849999998,95.304323
22832890,trunk,,NH702,,,,,,,27.053411041558444,95.11798766493507
22832892,primary,,SH1,,,,,,,27.117332253982312,95.24896981946905
22832893,primary,Bhalukpong-Doimara,,,,,,,,27.000525690688253,92.68446281255063
22832896,tertiary,,,,,,,,,27.103238616574576,95.7332598270718
